"eta_true","xsd","lp_sd","rep","disease_rate","frac_extreme","eta_hat","eta_se","eta_signed","eta_abs","beta_infl"
0.4,1,7.41619848709566,1,0.485555555555556,0.486666666666667,0.497005035093161,0.285360797537495,0.097005035093161,0.097005035093161,1.05784736250252
0.4,1,7.41619848709566,2,0.504444444444444,0.52,0.737640068305824,0.311455136754586,0.337640068305824,0.337640068305824,1.2153734951987
0.4,1,7.41619848709566,3,0.493333333333333,0.497777777777778,1.10079781150333,0.304063613500768,0.700797811503331,0.700797811503331,1.10356167547093
0.4,1,7.41619848709566,4,0.527777777777778,0.465555555555556,0.534376076658853,0.240357444421245,0.134376076658853,0.134376076658853,0.91093193673709
0.4,1,7.41619848709566,5,0.515555555555556,0.507777777777778,0.958570805379804,0.301871698262881,0.558570805379804,0.558570805379804,1.11494955894035
0.4,1,7.41619848709566,6,0.513333333333333,0.474444444444444,0.213261272281781,0.267406038389895,-0.186738727718219,0.186738727718219,1.01536029487573
0.4,1,7.41619848709566,7,0.508888888888889,0.495555555555556,-0.0648468860917825,0.274371243926155,-0.464846886091783,0.464846886091783,0.998488585213806
0.4,1,7.41619848709566,8,0.505555555555556,0.505555555555556,0.167285871861333,0.27590160562304,-0.232714128138668,0.232714128138668,1.103817162539
0.4,1,7.41619848709566,9,0.502222222222222,0.506666666666667,-0.113209231577501,0.283199247432097,-0.513209231577501,0.513209231577501,1.11395427430718
0.4,1,7.41619848709566,10,0.531111111111111,0.487777777777778,0.871784837569795,0.257990150663927,0.471784837569795,0.471784837569795,0.965670795095185
0.4,1,7.41619848709566,11,0.486666666666667,0.5,0.142744027931528,0.298988749713556,-0.257255972068472,0.257255972068472,1.00765026575014
0.4,1,7.41619848709566,12,0.493333333333333,0.496666666666667,0.503340193832279,0.266131164373719,0.103340193832279,0.103340193832279,0.975600967356468
0.4,1,7.41619848709566,13,0.512222222222222,0.486666666666667,0.587078701280298,0.269936074874714,0.187078701280298,0.187078701280298,1.17107284485099
0.4,1,7.41619848709566,14,0.473333333333333,0.491111111111111,0.185891899391176,0.313393276324719,-0.214108100608824,0.214108100608824,1.27308365676943
0.4,1,7.41619848709566,15,0.53,0.505555555555556,0.917652265382946,0.281636619880246,0.517652265382946,0.517652265382946,1.05517951620698
0.4,1,7.41619848709566,16,0.493333333333333,0.486666666666667,0.0890950126831697,0.266659743284522,-0.31090498731683,0.31090498731683,1.05887743474058
0.4,1,7.41619848709566,17,0.515555555555556,0.507777777777778,0.354106412114296,0.315381116721238,-0.0458935878857045,0.0458935878857045,1.27847481917308
0.4,1,7.41619848709566,18,0.508888888888889,0.478888888888889,0.518877185682558,0.278416718195715,0.118877185682558,0.118877185682558,1.09790840859044
0.4,1,7.41619848709566,19,0.518888888888889,0.514444444444444,0.280598857961103,0.290628952461183,-0.119401142038897,0.119401142038897,1.15460639471538
0.4,1,7.41619848709566,20,0.536666666666667,0.476666666666667,0.722826378987077,0.269472579954141,0.322826378987077,0.322826378987077,1.12891022320509
0.4,1,7.41619848709566,21,0.501111111111111,0.521111111111111,0.298692827318411,0.252169138556261,-0.101307172681589,0.101307172681589,0.857975696603081
0.4,1,7.41619848709566,22,0.494444444444444,0.491111111111111,0.0903425275306256,0.30797502326527,-0.309657472469374,0.309657472469374,1.1767475608502
0.4,1,7.41619848709566,23,0.528888888888889,0.485555555555556,0.861780358532255,0.262449149007281,0.461780358532255,0.461780358532255,0.954676094617825
0.4,1,7.41619848709566,24,0.493333333333333,0.504444444444444,0.467789115811975,0.305703966186743,0.0677891158119748,0.0677891158119748,1.13225934086509
0.4,1,7.41619848709566,25,0.524444444444444,0.486666666666667,0.86852225344243,0.283710800644758,0.46852225344243,0.46852225344243,1.27170731339266
0.4,1,7.41619848709566,26,0.522222222222222,0.487777777777778,0.536130134249385,0.249885737815241,0.136130134249385,0.136130134249385,0.995710527537194
0.4,1,7.41619848709566,27,0.487777777777778,0.492222222222222,0.209404203125831,0.281017887780737,-0.190595796874169,0.190595796874169,1.16301965529898
0.4,1,7.41619848709566,28,0.513333333333333,0.515555555555556,0.447309999959599,0.286603562534538,0.047309999959599,0.047309999959599,1.1118201929532
0.4,1,7.41619848709566,29,0.503333333333333,0.511111111111111,0.168949992639709,0.305742445018009,-0.231050007360291,0.231050007360291,1.18407862798926
0.4,1,7.41619848709566,30,0.533333333333333,0.495555555555556,0.478795220372422,0.26513090400549,0.0787952203724223,0.0787952203724223,1.05734218035277
0.4,1,7.41619848709566,31,0.548888888888889,0.473333333333333,0.52200396281723,0.238892540932302,0.12200396281723,0.12200396281723,0.924025967176486
0.4,1,7.41619848709566,32,0.5,0.477777777777778,0.57481681269766,0.286726796885318,0.17481681269766,0.17481681269766,1.11768418541611
0.4,1,7.41619848709566,33,0.5,0.524444444444444,0.267369856801472,0.278606838228727,-0.132630143198529,0.132630143198529,1.05822777907248
0.4,1,7.41619848709566,34,0.515555555555556,0.515555555555556,0.296684881005287,0.249872440732301,-0.103315118994713,0.103315118994713,1.01069715511037
0.4,1,7.41619848709566,35,0.514444444444444,0.506666666666667,0.337743547543581,0.307833382976734,-0.0622564524564194,0.0622564524564194,1.31926080542728
0.4,1,7.41619848709566,36,0.52,0.493333333333333,0.868593953539621,0.282821431145973,0.468593953539621,0.468593953539621,1.08473810683611
0.4,1,7.41619848709566,37,0.49,0.532222222222222,0.592848717396366,0.325766482770096,0.192848717396366,0.192848717396366,1.12705270583121
0.4,1,7.41619848709566,38,0.515555555555556,0.492222222222222,0.344345706953847,0.273092857909011,-0.0556542930461528,0.0556542930461528,1.17817666161325
0.4,1,7.41619848709566,39,0.525555555555556,0.49,0.369902831886715,0.267456640504917,-0.0300971681132853,0.0300971681132853,1.08921571959877
0.4,1,7.41619848709566,40,0.522222222222222,0.488888888888889,0.818472330663647,0.273191262431869,0.418472330663647,0.418472330663647,1.0399647869277
0.4,1,7.41619848709566,41,0.501111111111111,0.503333333333333,0.73347309163185,0.291199287050982,0.333473091631849,0.333473091631849,1.02721523254119
0.4,1,7.41619848709566,42,0.485555555555556,0.501111111111111,-0.173628404230629,0.293966871568336,-0.573628404230629,0.573628404230629,1.15229720406858
0.4,1,7.41619848709566,43,0.501111111111111,0.525555555555556,0.370577991167519,0.306603761456247,-0.0294220088324813,0.0294220088324813,1.20812564623916
0.4,1,7.41619848709566,44,0.545555555555556,0.481111111111111,0.631249982889081,0.250906922901513,0.231249982889081,0.231249982889081,1.03271933330623
0.4,1,7.41619848709566,45,0.535555555555556,0.488888888888889,0.338143742728939,0.246583209343022,-0.0618562572710608,0.0618562572710608,1.0187473417733
0.4,1,7.41619848709566,46,0.502222222222222,0.495555555555556,0.537045189144756,0.292992751199857,0.137045189144756,0.137045189144756,0.975031951281256
0.4,1,7.41619848709566,47,0.506666666666667,0.514444444444444,0.740284104180283,0.295113214023501,0.340284104180283,0.340284104180283,1.10247968375042
0.4,1,7.41619848709566,48,0.492222222222222,0.493333333333333,0.0745251257843444,0.30461307490894,-0.325474874215656,0.325474874215656,1.22100867059184
0.4,1,7.41619848709566,49,0.541111111111111,0.5,0.688401964061591,0.253159912754276,0.288401964061591,0.288401964061591,0.952323345107189
0.4,1,7.41619848709566,50,0.53,0.501111111111111,0.539050369237741,0.242365236795573,0.139050369237741,0.139050369237741,0.905504200474181
0.4,0.5,3.70809924354783,1,0.497777777777778,0.184444444444444,-0.0350452762016489,0.203867606892994,-0.435045276201649,0.435045276201649,1.03085119042026
0.4,0.5,3.70809924354783,2,0.493333333333333,0.168888888888889,0.00440956802780339,0.20244284931012,-0.395590431972197,0.395590431972197,1.03569798085845
0.4,0.5,3.70809924354783,3,0.545555555555556,0.184444444444444,0.853007518208495,0.200707830149748,0.453007518208495,0.453007518208495,1.05947773688706
0.4,0.5,3.70809924354783,4,0.521111111111111,0.167777777777778,0.623573455349986,0.201634339882558,0.223573455349986,0.223573455349986,1.0204213210976
0.4,0.5,3.70809924354783,5,0.54,0.178888888888889,0.763060676980794,0.191094335878402,0.363060676980794,0.363060676980794,0.993426514340332
0.4,0.5,3.70809924354783,6,0.543333333333333,0.16,0.513518000034222,0.192855619373138,0.113518000034222,0.113518000034222,1.16356217196212
0.4,0.5,3.70809924354783,7,0.511111111111111,0.192222222222222,0.44910053284866,0.204865646923354,0.0491005328486596,0.0491005328486596,1.14826323132104
0.4,0.5,3.70809924354783,8,0.52,0.208888888888889,0.582210425483481,0.206550044342445,0.182210425483481,0.182210425483481,1.08378973769174
0.4,0.5,3.70809924354783,9,0.531111111111111,0.197777777777778,0.56424065748611,0.198635189500817,0.16424065748611,0.16424065748611,1.00299737695457
0.4,0.5,3.70809924354783,10,0.53,0.168888888888889,0.654090382443267,0.177723765155101,0.254090382443267,0.254090382443267,0.890258199342519
0.4,0.5,3.70809924354783,11,0.511111111111111,0.181111111111111,0.327251391364471,0.194540992175683,-0.0727486086355287,0.0727486086355287,1.05244000005338
0.4,0.5,3.70809924354783,12,0.487777777777778,0.178888888888889,0.287889285752507,0.204431658030818,-0.112110714247493,0.112110714247493,1.08666455104317
0.4,0.5,3.70809924354783,13,0.555555555555556,0.168888888888889,1.14127478397799,0.210145566234386,0.741274783977994,0.741274783977994,1.20066094455375
0.4,0.5,3.70809924354783,14,0.514444444444444,0.171111111111111,0.618206267635014,0.198974803308306,0.218206267635014,0.218206267635014,1.07604994319313
0.4,0.5,3.70809924354783,15,0.521111111111111,0.181111111111111,0.522752072328737,0.201786867482319,0.122752072328737,0.122752072328737,1.12766080643889
0.4,0.5,3.70809924354783,16,0.541111111111111,0.178888888888889,0.756451040416604,0.193662719635366,0.356451040416604,0.356451040416604,1.14119430578356
0.4,0.5,3.70809924354783,17,0.541111111111111,0.18,0.40373653681959,0.209398346950713,0.00373653681958963,0.00373653681958963,1.19906793419545
0.4,0.5,3.70809924354783,18,0.536666666666667,0.183333333333333,0.435318230407125,0.197947029689287,0.0353182304071253,0.0353182304071253,1.0290209768462
0.4,0.5,3.70809924354783,19,0.498888888888889,0.176666666666667,0.141037149814571,0.202351843135513,-0.258962850185429,0.258962850185429,1.12175965263913
0.4,0.5,3.70809924354783,20,0.504444444444444,0.188888888888889,0.310995466054954,0.197930682097053,-0.0890045339450458,0.0890045339450458,0.969343430657555
0.4,0.5,3.70809924354783,21,0.518888888888889,0.178888888888889,0.681602375553787,0.199671221759655,0.281602375553787,0.281602375553787,1.04566450586882
0.4,0.5,3.70809924354783,22,0.533333333333333,0.181111111111111,0.461881462695769,0.182739837949218,0.0618814626957689,0.0618814626957689,0.894688136789455
0.4,0.5,3.70809924354783,23,0.534444444444444,0.174444444444444,0.558061641673497,0.190360882589128,0.158061641673497,0.158061641673497,1.24420511105425
0.4,0.5,3.70809924354783,24,0.52,0.163333333333333,0.422626493670957,0.196316791063236,0.0226264936709569,0.0226264936709569,1.09433894257817
0.4,0.5,3.70809924354783,25,0.548888888888889,0.176666666666667,0.618527969335849,0.185146948700422,0.218527969335849,0.218527969335849,0.97670312666223
0.4,0.5,3.70809924354783,26,0.521111111111111,0.191111111111111,-0.07941527094316,0.183697102056226,-0.47941527094316,0.47941527094316,0.998496579167823
0.4,0.5,3.70809924354783,27,0.52,0.197777777777778,0.370160016887203,0.199599021694686,-0.0298399831127968,0.0298399831127968,1.02258265431012
0.4,0.5,3.70809924354783,28,0.497777777777778,0.173333333333333,0.355369531925679,0.193447980689246,-0.044630468074321,0.044630468074321,0.992275977617799
0.4,0.5,3.70809924354783,29,0.545555555555556,0.19,0.765062772294953,0.198022154464279,0.365062772294953,0.365062772294953,1.03058008069962
0.4,0.5,3.70809924354783,30,0.56,0.185555555555556,0.669992498481983,0.182078093005201,0.269992498481983,0.269992498481983,0.96461088662814
0.4,0.5,3.70809924354783,31,0.546666666666667,0.184444444444444,0.367526684029181,0.187892560083901,-0.032473315970819,0.032473315970819,1.05433839908144
0.4,0.5,3.70809924354783,32,0.527777777777778,0.17,0.441496090161549,0.196947889418765,0.0414960901615488,0.0414960901615488,1.00149476630148
0.4,0.5,3.70809924354783,33,0.53,0.19,0.703933515645864,0.205488134553985,0.303933515645864,0.303933515645864,1.16633474182405
0.4,0.5,3.70809924354783,34,0.507777777777778,0.166666666666667,0.207971755280866,0.199020843282633,-0.192028244719134,0.192028244719134,1.08232739888486
0.4,0.5,3.70809924354783,35,0.525555555555556,0.165555555555556,0.91735983875298,0.198331425745704,0.51735983875298,0.51735983875298,1.06602471482264
0.4,0.5,3.70809924354783,36,0.493333333333333,0.19,0.00863836448916852,0.207510505478558,-0.391361635510831,0.391361635510831,1.05309440344546
0.4,0.5,3.70809924354783,37,0.518888888888889,0.177777777777778,0.289295983259928,0.211313963837707,-0.110704016740072,0.110704016740072,1.1771923595921
0.4,0.5,3.70809924354783,38,0.523333333333333,0.174444444444444,0.380410897865463,0.186729312090306,-0.0195891021345366,0.0195891021345366,1.06445645541852
0.4,0.5,3.70809924354783,39,0.524444444444444,0.192222222222222,0.847057362146046,0.22626475751482,0.447057362146046,0.447057362146046,1.33860950033273
0.4,0.5,3.70809924354783,40,0.546666666666667,0.182222222222222,0.810977560975317,0.187426560847954,0.410977560975317,0.410977560975317,1.00451010238261
0.4,0.5,3.70809924354783,41,0.548888888888889,0.178888888888889,0.553745569842966,0.189850169145561,0.153745569842966,0.153745569842966,1.08773378402397
0.4,0.5,3.70809924354783,42,0.542222222222222,0.175555555555556,0.559564834737484,0.185340579578304,0.159564834737484,0.159564834737484,1.03326846490281
0.4,0.5,3.70809924354783,43,0.54,0.174444444444444,0.55045291194348,0.181040238966587,0.15045291194348,0.15045291194348,0.97565232590802
0.4,0.5,3.70809924354783,44,0.516666666666667,0.184444444444444,0.19710320490458,0.191078303470997,-0.20289679509542,0.20289679509542,1.00692973561549
0.4,0.5,3.70809924354783,45,0.501111111111111,0.175555555555556,0.481416384471875,0.204452065491106,0.0814163844718754,0.0814163844718754,1.16851081759582
0.4,0.5,3.70809924354783,46,0.54,0.172222222222222,0.679540270775629,0.194890590114758,0.279540270775629,0.279540270775629,1.10757419147328
0.4,0.5,3.70809924354783,47,0.514444444444444,0.164444444444444,0.557010510851192,0.201620959791224,0.157010510851192,0.157010510851192,1.17269053640366
0.4,0.5,3.70809924354783,48,0.541111111111111,0.178888888888889,0.577250979630927,0.206159059868414,0.177250979630927,0.177250979630927,1.17738940529964
0.4,0.5,3.70809924354783,49,0.526666666666667,0.207777777777778,0.744512423194581,0.203251626270691,0.344512423194581,0.344512423194581,1.16078256860317
0.4,0.5,3.70809924354783,50,0.507777777777778,0.192222222222222,0.585308702752173,0.197461276698627,0.185308702752173,0.185308702752173,0.921812366196961
0.4,0.25,1.85404962177392,1,0.56,0.00444444444444444,0.76453549120881,0.145310092269277,0.364535491208809,0.364535491208809,1.14693652580839
0.4,0.25,1.85404962177392,2,0.527777777777778,0.00333333333333333,0.182440699060294,0.146850563598338,-0.217559300939706,0.217559300939706,1.05438212217987
0.4,0.25,1.85404962177392,3,0.505555555555556,0.00555555555555556,0.0470718606143616,0.154413434491206,-0.352928139385638,0.352928139385638,1.13958318784092
0.4,0.25,1.85404962177392,4,0.504444444444444,0.00555555555555556,0.289608673226308,0.155864035919794,-0.110391326773692,0.110391326773692,1.00784241907305
0.4,0.25,1.85404962177392,5,0.523333333333333,0.00888888888888889,0.252304393923946,0.146324592404487,-0.147695606076054,0.147695606076054,0.924694202047777
0.4,0.25,1.85404962177392,6,0.521111111111111,0.00666666666666667,0.556398614436285,0.15609709926316,0.156398614436285,0.156398614436285,1.03155682275577
0.4,0.25,1.85404962177392,7,0.536666666666667,0.00555555555555556,0.168785338543156,0.148821129135925,-0.231214661456844,0.231214661456844,1.12505859295397
0.4,0.25,1.85404962177392,8,0.505555555555556,0.0122222222222222,0.167726949251372,0.152662798147818,-0.232273050748628,0.232273050748628,0.946456340257157
0.4,0.25,1.85404962177392,9,0.523333333333333,0.00444444444444444,0.431527492654472,0.146827384050236,0.0315274926544716,0.0315274926544716,0.836070025862269
0.4,0.25,1.85404962177392,10,0.515555555555556,0.00888888888888889,0.32389633829418,0.155068041740414,-0.0761036617058201,0.0761036617058201,1.22977144189587
0.4,0.25,1.85404962177392,11,0.523333333333333,0.00555555555555556,0.553919622685579,0.151220022174031,0.153919622685579,0.153919622685579,1.0383623157067
0.4,0.25,1.85404962177392,12,0.544444444444444,0.01,0.462010755907731,0.142225960314296,0.0620107559077308,0.0620107559077308,0.988475847597249
0.4,0.25,1.85404962177392,13,0.51,0.0133333333333333,0.441091738621609,0.153870128727753,0.0410917386216088,0.0410917386216088,1.20169983520961
0.4,0.25,1.85404962177392,14,0.554444444444444,0.0122222222222222,0.324363817630959,0.136560508098755,-0.0756361823690412,0.0756361823690412,0.906131025436988
0.4,0.25,1.85404962177392,15,0.535555555555556,0.00777777777777778,0.572693767687144,0.142917824009766,0.172693767687144,0.172693767687144,0.913331902881987
0.4,0.25,1.85404962177392,16,0.545555555555556,0.00222222222222222,0.444589180091153,0.140172286233505,0.0445891800911525,0.0445891800911525,0.977510124561072
0.4,0.25,1.85404962177392,17,0.533333333333333,0.00222222222222222,0.356851858483032,0.145513234256287,-0.0431481415169677,0.0431481415169677,1.10348255449428
0.4,0.25,1.85404962177392,18,0.546666666666667,0.00666666666666667,0.602345857127504,0.148766909978639,0.202345857127504,0.202345857127504,1.09282856137285
0.4,0.25,1.85404962177392,19,0.535555555555556,0.0111111111111111,0.357084128723464,0.142667685314129,-0.042915871276536,0.042915871276536,0.843041977968172
0.4,0.25,1.85404962177392,20,0.538888888888889,0.00111111111111111,0.443972805178204,0.146144689900087,0.0439728051782041,0.0439728051782041,1.04683611657385
0.4,0.25,1.85404962177392,21,0.528888888888889,0.00333333333333333,0.400603693436986,0.148318070070329,0.00060369343698613,0.00060369343698613,1.139041907557
0.4,0.25,1.85404962177392,22,0.525555555555556,0.01,0.253345216191755,0.153172987776398,-0.146654783808245,0.146654783808245,1.12559486399815
0.4,0.25,1.85404962177392,23,0.531111111111111,0.00777777777777778,0.511658148112345,0.141848774714707,0.111658148112345,0.111658148112345,0.888206442478085
0.4,0.25,1.85404962177392,24,0.508888888888889,0.0111111111111111,0.404473338088598,0.155883145352801,0.00447333808859818,0.00447333808859818,1.09577608538349
0.4,0.25,1.85404962177392,25,0.561111111111111,0.0133333333333333,0.648655230028466,0.147510944046463,0.248655230028466,0.248655230028466,1.05415149206283
0.4,0.25,1.85404962177392,26,0.523333333333333,0.00444444444444444,0.343205255871096,0.147593982494059,-0.0567947441289043,0.0567947441289043,0.965785892587326
0.4,0.25,1.85404962177392,27,0.538888888888889,0.00555555555555556,0.456013791075333,0.146513303840904,0.0560137910753326,0.0560137910753326,1.08943359216796
0.4,0.25,1.85404962177392,28,0.534444444444444,0.00555555555555556,0.500275838013449,0.146260855555426,0.100275838013449,0.100275838013449,0.938934350791976
0.4,0.25,1.85404962177392,29,0.526666666666667,0.0122222222222222,0.160150355781819,0.146260758282895,-0.239849644218181,0.239849644218181,1.12663913620963
0.4,0.25,1.85404962177392,30,0.544444444444444,0.00555555555555556,0.42195802685039,0.140409726657753,0.0219580268503897,0.0219580268503897,0.9517122898682
0.4,0.25,1.85404962177392,31,0.565555555555556,0.01,0.690278726582987,0.142362030474234,0.290278726582987,0.290278726582987,1.12064833205355
0.4,0.25,1.85404962177392,32,0.525555555555556,0.00333333333333333,0.127937986725002,0.144081145320932,-0.272062013274998,0.272062013274998,0.943547534670195
0.4,0.25,1.85404962177392,33,0.532222222222222,0.00777777777777778,0.393540511834136,0.151072487568097,-0.00645948816586378,0.00645948816586378,1.14501770603974
0.4,0.25,1.85404962177392,34,0.546666666666667,0.00666666666666667,0.480038632648648,0.150410254470593,0.0800386326486484,0.0800386326486484,1.16016784068858
0.4,0.25,1.85404962177392,35,0.556666666666667,0.0122222222222222,0.394687389821055,0.137083047074538,-0.00531261017894508,0.00531261017894508,0.965997102634116
0.4,0.25,1.85404962177392,36,0.542222222222222,0.00111111111111111,0.538987544880415,0.146382013293184,0.138987544880415,0.138987544880415,1.0116819569827
0.4,0.25,1.85404962177392,37,0.535555555555556,0.00333333333333333,0.29506820489452,0.140728365009056,-0.10493179510548,0.10493179510548,0.996708416862423
0.4,0.25,1.85404962177392,38,0.528888888888889,0.01,0.420171619580215,0.149294962049996,0.0201716195802152,0.0201716195802152,1.04712950768719
0.4,0.25,1.85404962177392,39,0.523333333333333,0.00777777777777778,0.299112986848614,0.150907526830913,-0.100887013151386,0.100887013151386,0.967442239712809
0.4,0.25,1.85404962177392,40,0.53,0.00888888888888889,0.34300970699084,0.151884478119845,-0.05699029300916,0.05699029300916,1.03397276848411
0.4,0.25,1.85404962177392,41,0.536666666666667,0.00444444444444444,0.245597679058842,0.141032271742725,-0.154402320941158,0.154402320941158,0.94845153563427
0.4,0.25,1.85404962177392,42,0.532222222222222,0.00888888888888889,0.591579560909011,0.146684726857088,0.191579560909011,0.191579560909011,0.959347781210725
0.4,0.25,1.85404962177392,43,0.554444444444444,0.00444444444444444,0.641583345711369,0.143977399214798,0.241583345711369,0.241583345711369,0.992772734572462
