"eta_setting","rep","method","seconds"
0.4,1,"Naive Method (ADVI)",19.385
0.4,1,"Proposed Method (ADVI)",18.897
0.4,2,"Naive Method (ADVI)",0.222000000000001
0.4,2,"Proposed Method (ADVI)",0.231999999999999
0.4,3,"Naive Method (ADVI)",0.201
0.4,3,"Proposed Method (ADVI)",0.231000000000002
0.4,4,"Naive Method (ADVI)",0.215000000000003
0.4,4,"Proposed Method (ADVI)",0.231000000000002
0.4,5,"Naive Method (ADVI)",0.199000000000005
0.4,5,"Proposed Method (ADVI)",0.230000000000004
0.4,6,"Naive Method (ADVI)",0.201999999999998
0.4,6,"Proposed Method (ADVI)",0.230000000000004
0.4,7,"Naive Method (ADVI)",0.214000000000006
0.4,7,"Proposed Method (ADVI)",0.228999999999999
0.4,8,"Naive Method (ADVI)",0.214999999999996
0.4,8,"Proposed Method (ADVI)",0.229999999999997
0.4,9,"Naive Method (ADVI)",0.199000000000005
0.4,9,"Proposed Method (ADVI)",0.230000000000004
0.4,10,"Naive Method (ADVI)",0.213000000000001
0.4,10,"Proposed Method (ADVI)",0.229000000000006
0.4,11,"Naive Method (ADVI)",0.213999999999999
0.4,11,"Proposed Method (ADVI)",0.229999999999997
0.4,12,"Naive Method (ADVI)",0.198
0.4,12,"Proposed Method (ADVI)",0.231999999999999
0.4,13,"Naive Method (ADVI)",0.198
0.4,13,"Proposed Method (ADVI)",0.247
0.4,14,"Naive Method (ADVI)",0.214999999999996
0.4,14,"Proposed Method (ADVI)",0.227999999999994
0.4,15,"Naive Method (ADVI)",0.200000000000003
0.4,15,"Proposed Method (ADVI)",0.229000000000006
0.4,16,"Naive Method (ADVI)",0.198999999999998
0.4,16,"Proposed Method (ADVI)",0.230999999999995
0.4,17,"Naive Method (ADVI)",0.214000000000006
0.4,17,"Proposed Method (ADVI)",0.228999999999999
0.4,18,"Naive Method (ADVI)",0.213000000000001
0.4,18,"Proposed Method (ADVI)",0.229000000000006
0.4,19,"Naive Method (ADVI)",0.213000000000001
0.4,19,"Proposed Method (ADVI)",0.232999999999997
0.4,20,"Naive Method (ADVI)",0.198999999999998
0.4,20,"Proposed Method (ADVI)",0.231000000000002
0.4,21,"Naive Method (ADVI)",0.213000000000001
0.4,21,"Proposed Method (ADVI)",0.230000000000004
0.4,22,"Naive Method (ADVI)",0.198999999999998
0.4,22,"Proposed Method (ADVI)",0.230000000000004
0.4,23,"Naive Method (ADVI)",0.213999999999999
0.4,23,"Proposed Method (ADVI)",0.230000000000004
0.4,24,"Naive Method (ADVI)",0.201
0.4,24,"Proposed Method (ADVI)",0.231000000000002
0.4,25,"Naive Method (ADVI)",0.214999999999996
0.4,25,"Proposed Method (ADVI)",0.230000000000004
0.4,26,"Naive Method (ADVI)",0.213999999999999
0.4,26,"Proposed Method (ADVI)",0.230000000000004
0.4,27,"Naive Method (ADVI)",0.213000000000001
0.4,27,"Proposed Method (ADVI)",0.232999999999997
0.4,28,"Naive Method (ADVI)",0.198999999999998
0.4,28,"Proposed Method (ADVI)",0.229999999999997
0.4,29,"Naive Method (ADVI)",0.199000000000005
0.4,29,"Proposed Method (ADVI)",0.228999999999999
0.4,30,"Naive Method (ADVI)",0.215000000000003
0.4,30,"Proposed Method (ADVI)",0.229000000000006
0.4,31,"Naive Method (ADVI)",0.198999999999998
0.4,31,"Proposed Method (ADVI)",0.228999999999999
0.4,32,"Naive Method (ADVI)",0.198999999999998
0.4,32,"Proposed Method (ADVI)",0.234000000000002
0.4,33,"Naive Method (ADVI)",0.201
0.4,33,"Proposed Method (ADVI)",0.229999999999997
0.4,34,"Naive Method (ADVI)",0.212999999999994
0.4,34,"Proposed Method (ADVI)",0.230999999999995
0.4,35,"Naive Method (ADVI)",0.216999999999999
0.4,35,"Proposed Method (ADVI)",0.230000000000004
0.4,36,"Naive Method (ADVI)",0.212999999999994
0.4,36,"Proposed Method (ADVI)",0.230000000000004
0.4,37,"Naive Method (ADVI)",0.215999999999994
0.4,37,"Proposed Method (ADVI)",0.231000000000009
0.4,38,"Naive Method (ADVI)",0.216000000000008
0.4,38,"Proposed Method (ADVI)",0.228999999999999
0.4,39,"Naive Method (ADVI)",0.213000000000008
0.4,39,"Proposed Method (ADVI)",0.228999999999999
0.4,40,"Naive Method (ADVI)",0.199000000000012
0.4,40,"Proposed Method (ADVI)",0.228999999999999
0.4,41,"Naive Method (ADVI)",0.215000000000003
0.4,41,"Proposed Method (ADVI)",0.230000000000004
0.4,42,"Naive Method (ADVI)",0.201000000000008
0.4,42,"Proposed Method (ADVI)",0.230999999999995
0.4,43,"Naive Method (ADVI)",0.213999999999999
0.4,43,"Proposed Method (ADVI)",0.230000000000004
0.4,44,"Naive Method (ADVI)",0.214999999999989
0.4,44,"Proposed Method (ADVI)",0.231000000000009
0.4,45,"Naive Method (ADVI)",0.212999999999994
0.4,45,"Proposed Method (ADVI)",0.228999999999999
0.4,46,"Naive Method (ADVI)",0.200000000000003
0.4,46,"Proposed Method (ADVI)",0.230999999999995
0.4,47,"Naive Method (ADVI)",0.244
0.4,47,"Proposed Method (ADVI)",0.22999999999999
0.4,48,"Naive Method (ADVI)",0.215000000000003
0.4,48,"Proposed Method (ADVI)",0.230000000000004
0.4,49,"Naive Method (ADVI)",0.213999999999999
0.4,49,"Proposed Method (ADVI)",0.231000000000009
0.4,50,"Naive Method (ADVI)",0.212999999999994
0.4,50,"Proposed Method (ADVI)",0.228999999999999
0.4,51,"Naive Method (ADVI)",0.212000000000003
0.4,51,"Proposed Method (ADVI)",0.228999999999999
0.4,52,"Naive Method (ADVI)",0.215000000000003
0.4,52,"Proposed Method (ADVI)",0.22999999999999
0.4,53,"Naive Method (ADVI)",0.199999999999989
0.4,53,"Proposed Method (ADVI)",0.231999999999999
0.4,54,"Naive Method (ADVI)",0.215000000000003
0.4,54,"Proposed Method (ADVI)",0.22999999999999
0.4,55,"Naive Method (ADVI)",0.198999999999998
0.4,55,"Proposed Method (ADVI)",0.228999999999999
0.4,56,"Naive Method (ADVI)",0.215000000000003
0.4,56,"Proposed Method (ADVI)",0.22999999999999
0.4,57,"Naive Method (ADVI)",0.198999999999998
0.4,57,"Proposed Method (ADVI)",0.230999999999995
0.4,58,"Naive Method (ADVI)",0.218000000000004
0.4,58,"Proposed Method (ADVI)",0.228999999999999
0.4,59,"Naive Method (ADVI)",0.198999999999998
0.4,59,"Proposed Method (ADVI)",0.230000000000004
0.4,60,"Naive Method (ADVI)",0.215000000000003
0.4,60,"Proposed Method (ADVI)",0.230000000000004
0.4,61,"Naive Method (ADVI)",0.199000000000012
0.4,61,"Proposed Method (ADVI)",0.228999999999999
0.4,62,"Naive Method (ADVI)",0.198999999999998
0.4,62,"Proposed Method (ADVI)",0.230000000000004
0.4,63,"Naive Method (ADVI)",0.213999999999999
0.4,63,"Proposed Method (ADVI)",0.230000000000004
0.4,64,"Naive Method (ADVI)",0.213999999999999
0.4,64,"Proposed Method (ADVI)",0.231000000000009
0.4,65,"Naive Method (ADVI)",0.214999999999989
0.4,65,"Proposed Method (ADVI)",0.231999999999999
0.4,66,"Naive Method (ADVI)",0.213000000000008
0.4,66,"Proposed Method (ADVI)",0.230000000000004
0.4,67,"Naive Method (ADVI)",0.213999999999999
0.4,67,"Proposed Method (ADVI)",0.228000000000009
0.4,68,"Naive Method (ADVI)",0.213999999999999
0.4,68,"Proposed Method (ADVI)",0.230000000000004
0.4,69,"Naive Method (ADVI)",0.213999999999999
0.4,69,"Proposed Method (ADVI)",0.230000000000004
0.4,70,"Naive Method (ADVI)",0.215000000000003
0.4,70,"Proposed Method (ADVI)",0.22999999999999
0.4,71,"Naive Method (ADVI)",0.213000000000008
0.4,71,"Proposed Method (ADVI)",0.228999999999999
0.4,72,"Naive Method (ADVI)",0.213999999999999
0.4,72,"Proposed Method (ADVI)",0.231000000000009
0.4,73,"Naive Method (ADVI)",0.213999999999999
0.4,73,"Proposed Method (ADVI)",0.230000000000004
0.4,74,"Naive Method (ADVI)",0.199000000000012
0.4,74,"Proposed Method (ADVI)",0.230000000000004
0.4,75,"Naive Method (ADVI)",0.213999999999999
0.4,75,"Proposed Method (ADVI)",0.231999999999999
0.4,76,"Naive Method (ADVI)",0.198999999999998
0.4,76,"Proposed Method (ADVI)",0.230000000000004
0.4,77,"Naive Method (ADVI)",0.200999999999993
0.4,77,"Proposed Method (ADVI)",0.228999999999999
0.4,78,"Naive Method (ADVI)",0.213999999999999
0.4,78,"Proposed Method (ADVI)",0.230000000000004
0.4,79,"Naive Method (ADVI)",0.201999999999998
0.4,79,"Proposed Method (ADVI)",0.231999999999999
0.4,80,"Naive Method (ADVI)",0.200000000000003
0.4,80,"Proposed Method (ADVI)",0.230000000000004
0.4,81,"Naive Method (ADVI)",0.200000000000003
0.4,81,"Proposed Method (ADVI)",0.230000000000004
0.4,82,"Naive Method (ADVI)",0.213999999999999
0.4,82,"Proposed Method (ADVI)",0.230000000000004
0.4,83,"Naive Method (ADVI)",0.213999999999999
0.4,83,"Proposed Method (ADVI)",0.230999999999995
0.4,84,"Naive Method (ADVI)",0.200000000000003
0.4,84,"Proposed Method (ADVI)",0.22999999999999
0.4,85,"Naive Method (ADVI)",0.219999999999999
0.4,85,"Proposed Method (ADVI)",0.241
0.4,86,"Naive Method (ADVI)",0.224000000000004
0.4,86,"Proposed Method (ADVI)",0.230000000000004
0.4,87,"Naive Method (ADVI)",0.198999999999998
0.4,87,"Proposed Method (ADVI)",0.231000000000009
0.4,88,"Naive Method (ADVI)",0.213999999999999
0.4,88,"Proposed Method (ADVI)",0.230000000000004
0.4,89,"Naive Method (ADVI)",0.213999999999999
0.4,89,"Proposed Method (ADVI)",0.231000000000009
0.4,90,"Naive Method (ADVI)",0.215999999999994
0.4,90,"Proposed Method (ADVI)",0.234000000000009
0.4,91,"Naive Method (ADVI)",0.224000000000004
0.4,91,"Proposed Method (ADVI)",0.239000000000004
0.4,92,"Naive Method (ADVI)",0.216000000000008
0.4,92,"Proposed Method (ADVI)",0.230000000000004
0.4,93,"Naive Method (ADVI)",0.215000000000003
0.4,93,"Proposed Method (ADVI)",0.228999999999999
0.4,94,"Naive Method (ADVI)",0.201000000000008
0.4,94,"Proposed Method (ADVI)",0.230000000000004
0.4,95,"Naive Method (ADVI)",0.213999999999999
0.4,95,"Proposed Method (ADVI)",0.230000000000004
0.4,96,"Naive Method (ADVI)",0.221999999999994
0.4,96,"Proposed Method (ADVI)",0.24199999999999
0.4,97,"Naive Method (ADVI)",0.225999999999999
0.4,97,"Proposed Method (ADVI)",0.228999999999999
0.4,98,"Naive Method (ADVI)",0.214999999999989
0.4,98,"Proposed Method (ADVI)",0.230999999999995
0.4,99,"Naive Method (ADVI)",0.216999999999999
0.4,99,"Proposed Method (ADVI)",0.230999999999995
0.4,100,"Naive Method (ADVI)",0.198999999999998
0.4,100,"Proposed Method (ADVI)",0.22999999999999
0.4,101,"Naive Method (ADVI)",0.200999999999993
0.4,101,"Proposed Method (ADVI)",0.23899999999999
0.4,102,"Naive Method (ADVI)",0.222999999999999
0.4,102,"Proposed Method (ADVI)",0.241
0.4,103,"Naive Method (ADVI)",0.213999999999999
0.4,103,"Proposed Method (ADVI)",0.230999999999995
0.4,104,"Naive Method (ADVI)",0.198999999999998
0.4,104,"Proposed Method (ADVI)",0.230000000000004
0.4,105,"Naive Method (ADVI)",0.198999999999998
0.4,105,"Proposed Method (ADVI)",0.231000000000009
0.4,106,"Naive Method (ADVI)",0.212999999999994
0.4,106,"Proposed Method (ADVI)",0.230999999999995
0.4,107,"Naive Method (ADVI)",0.222999999999999
0.4,107,"Proposed Method (ADVI)",0.239000000000004
0.4,108,"Naive Method (ADVI)",0.207000000000008
0.4,108,"Proposed Method (ADVI)",0.230999999999995
0.4,109,"Naive Method (ADVI)",0.213999999999999
0.4,109,"Proposed Method (ADVI)",0.230999999999995
0.4,110,"Naive Method (ADVI)",0.213999999999999
0.4,110,"Proposed Method (ADVI)",0.228999999999999
0.4,111,"Naive Method (ADVI)",0.200000000000003
0.4,111,"Proposed Method (ADVI)",0.228999999999999
0.4,112,"Naive Method (ADVI)",0.214999999999989
0.4,112,"Proposed Method (ADVI)",0.238
0.4,113,"Naive Method (ADVI)",0.222999999999999
0.4,113,"Proposed Method (ADVI)",0.23899999999999
0.4,114,"Naive Method (ADVI)",0.213000000000008
0.4,114,"Proposed Method (ADVI)",0.230999999999995
0.4,115,"Naive Method (ADVI)",0.213999999999999
0.4,115,"Proposed Method (ADVI)",0.231999999999999
0.4,116,"Naive Method (ADVI)",0.212999999999994
0.4,116,"Proposed Method (ADVI)",0.230000000000004
0.4,117,"Naive Method (ADVI)",0.213999999999999
0.4,117,"Proposed Method (ADVI)",0.230000000000004
0.4,118,"Naive Method (ADVI)",0.212999999999994
0.4,118,"Proposed Method (ADVI)",0.228999999999999
0.4,119,"Naive Method (ADVI)",0.213999999999999
0.4,119,"Proposed Method (ADVI)",0.228999999999999
0.4,120,"Naive Method (ADVI)",0.216000000000008
0.4,120,"Proposed Method (ADVI)",0.227999999999994
0.4,121,"Naive Method (ADVI)",0.213999999999999
0.4,121,"Proposed Method (ADVI)",0.230000000000004
0.4,122,"Naive Method (ADVI)",0.213999999999999
0.4,122,"Proposed Method (ADVI)",0.231999999999999
0.4,123,"Naive Method (ADVI)",0.213999999999999
0.4,123,"Proposed Method (ADVI)",0.22999999999999
0.4,124,"Naive Method (ADVI)",0.199000000000012
0.4,124,"Proposed Method (ADVI)",0.22999999999999
0.4,125,"Naive Method (ADVI)",0.213999999999999
0.4,125,"Proposed Method (ADVI)",0.229000000000013
0.4,126,"Naive Method (ADVI)",0.213999999999999
0.4,126,"Proposed Method (ADVI)",0.230999999999995
0.4,127,"Naive Method (ADVI)",0.211999999999989
0.4,127,"Proposed Method (ADVI)",0.230999999999995
0.4,128,"Naive Method (ADVI)",0.199999999999989
0.4,128,"Proposed Method (ADVI)",0.233000000000004
0.4,129,"Naive Method (ADVI)",0.214999999999975
0.4,129,"Proposed Method (ADVI)",0.230000000000018
0.4,130,"Naive Method (ADVI)",0.199999999999989
0.4,130,"Proposed Method (ADVI)",0.22999999999999
0.4,131,"Naive Method (ADVI)",0.199000000000012
0.4,131,"Proposed Method (ADVI)",0.22799999999998
0.4,132,"Naive Method (ADVI)",0.213999999999999
0.4,132,"Proposed Method (ADVI)",0.230000000000018
0.4,133,"Naive Method (ADVI)",0.213999999999999
0.4,133,"Proposed Method (ADVI)",0.231000000000023
0.4,134,"Naive Method (ADVI)",0.216000000000008
0.4,134,"Proposed Method (ADVI)",0.230000000000018
0.4,135,"Naive Method (ADVI)",0.215000000000003
0.4,135,"Proposed Method (ADVI)",0.230000000000018
0.4,136,"Naive Method (ADVI)",0.213999999999999
0.4,136,"Proposed Method (ADVI)",0.22999999999999
0.4,137,"Naive Method (ADVI)",0.215000000000003
0.4,137,"Proposed Method (ADVI)",0.228999999999985
0.4,138,"Naive Method (ADVI)",0.199000000000012
0.4,138,"Proposed Method (ADVI)",0.230999999999995
0.4,139,"Naive Method (ADVI)",0.213999999999999
0.4,139,"Proposed Method (ADVI)",0.238
0.4,140,"Naive Method (ADVI)",0.213999999999999
0.4,140,"Proposed Method (ADVI)",0.22999999999999
0.4,141,"Naive Method (ADVI)",0.215000000000003
0.4,141,"Proposed Method (ADVI)",0.231999999999999
0.4,142,"Naive Method (ADVI)",0.198999999999984
0.4,142,"Proposed Method (ADVI)",0.228999999999985
0.4,143,"Naive Method (ADVI)",0.213000000000022
0.4,143,"Proposed Method (ADVI)",0.231000000000023
0.4,144,"Naive Method (ADVI)",0.216000000000008
0.4,144,"Proposed Method (ADVI)",0.230000000000018
0.4,145,"Naive Method (ADVI)",0.213999999999999
0.4,145,"Proposed Method (ADVI)",0.22999999999999
0.4,146,"Naive Method (ADVI)",0.199000000000012
0.4,146,"Proposed Method (ADVI)",0.22999999999999
0.4,147,"Naive Method (ADVI)",0.213999999999999
0.4,147,"Proposed Method (ADVI)",0.228999999999985
0.4,148,"Naive Method (ADVI)",0.199000000000012
0.4,148,"Proposed Method (ADVI)",0.228999999999985
0.4,149,"Naive Method (ADVI)",0.240000000000009
0.4,149,"Proposed Method (ADVI)",0.22999999999999
0.4,150,"Naive Method (ADVI)",0.199999999999989
0.4,150,"Proposed Method (ADVI)",0.230999999999995
0.4,151,"Naive Method (ADVI)",0.200000000000017
0.4,151,"Proposed Method (ADVI)",0.230000000000018
0.4,152,"Naive Method (ADVI)",0.199000000000012
0.4,152,"Proposed Method (ADVI)",0.228999999999985
0.4,153,"Naive Method (ADVI)",0.213999999999999
0.4,153,"Proposed Method (ADVI)",0.230999999999995
0.4,154,"Naive Method (ADVI)",0.200999999999993
0.4,154,"Proposed Method (ADVI)",0.22999999999999
0.4,155,"Naive Method (ADVI)",0.216000000000008
0.4,155,"Proposed Method (ADVI)",0.22999999999999
0.4,156,"Naive Method (ADVI)",0.213999999999999
0.4,156,"Proposed Method (ADVI)",0.22999999999999
0.4,157,"Naive Method (ADVI)",0.215000000000003
0.4,157,"Proposed Method (ADVI)",0.229000000000013
0.4,158,"Naive Method (ADVI)",0.213999999999999
0.4,158,"Proposed Method (ADVI)",0.228000000000009
0.4,159,"Naive Method (ADVI)",0.213999999999999
0.4,159,"Proposed Method (ADVI)",0.229000000000013
0.4,160,"Naive Method (ADVI)",0.200000000000017
0.4,160,"Proposed Method (ADVI)",0.231999999999999
0.4,161,"Naive Method (ADVI)",0.213000000000022
0.4,161,"Proposed Method (ADVI)",0.22999999999999
0.4,162,"Naive Method (ADVI)",0.215000000000003
0.4,162,"Proposed Method (ADVI)",0.230000000000018
0.4,163,"Naive Method (ADVI)",0.215000000000003
0.4,163,"Proposed Method (ADVI)",0.229000000000013
0.4,164,"Naive Method (ADVI)",0.198999999999984
0.4,164,"Proposed Method (ADVI)",0.229000000000013
0.4,165,"Naive Method (ADVI)",0.213999999999999
0.4,165,"Proposed Method (ADVI)",0.230999999999995
0.4,166,"Naive Method (ADVI)",0.215000000000003
0.4,166,"Proposed Method (ADVI)",0.231999999999999
0.4,167,"Naive Method (ADVI)",0.200000000000017
0.4,167,"Proposed Method (ADVI)",0.230000000000018
0.4,168,"Naive Method (ADVI)",0.212999999999994
0.4,168,"Proposed Method (ADVI)",0.229000000000013
0.4,169,"Naive Method (ADVI)",0.214000000000027
0.4,169,"Proposed Method (ADVI)",0.229000000000013
0.4,170,"Naive Method (ADVI)",0.215000000000003
0.4,170,"Proposed Method (ADVI)",0.230999999999995
0.4,171,"Naive Method (ADVI)",0.199000000000012
0.4,171,"Proposed Method (ADVI)",0.22999999999999
0.4,172,"Naive Method (ADVI)",0.215000000000003
0.4,172,"Proposed Method (ADVI)",0.228999999999985
0.4,173,"Naive Method (ADVI)",0.214999999999975
0.4,173,"Proposed Method (ADVI)",0.228000000000009
0.4,174,"Naive Method (ADVI)",0.213999999999999
0.4,174,"Proposed Method (ADVI)",0.228999999999985
0.4,175,"Naive Method (ADVI)",0.213999999999999
0.4,175,"Proposed Method (ADVI)",0.229000000000013
0.4,176,"Naive Method (ADVI)",0.212999999999994
0.4,176,"Proposed Method (ADVI)",0.22999999999999
0.4,177,"Naive Method (ADVI)",0.215000000000003
0.4,177,"Proposed Method (ADVI)",0.230999999999995
0.4,178,"Naive Method (ADVI)",0.200999999999993
0.4,178,"Proposed Method (ADVI)",0.230999999999995
0.4,179,"Naive Method (ADVI)",0.214999999999975
0.4,179,"Proposed Method (ADVI)",0.229000000000013
0.4,180,"Naive Method (ADVI)",0.213999999999999
0.4,180,"Proposed Method (ADVI)",0.22999999999999
0.4,181,"Naive Method (ADVI)",0.215000000000003
0.4,181,"Proposed Method (ADVI)",0.22999999999999
0.4,182,"Naive Method (ADVI)",0.213999999999999
0.4,182,"Proposed Method (ADVI)",0.231999999999999
0.4,183,"Naive Method (ADVI)",0.213999999999999
0.4,183,"Proposed Method (ADVI)",0.230999999999995
0.4,184,"Naive Method (ADVI)",0.211999999999989
0.4,184,"Proposed Method (ADVI)",0.228999999999985
0.4,185,"Naive Method (ADVI)",0.199999999999989
0.4,185,"Proposed Method (ADVI)",0.228000000000009
0.4,186,"Naive Method (ADVI)",0.213999999999999
0.4,186,"Proposed Method (ADVI)",0.229000000000013
0.4,187,"Naive Method (ADVI)",0.216000000000008
0.4,187,"Proposed Method (ADVI)",0.230999999999995
0.4,188,"Naive Method (ADVI)",0.201999999999998
0.4,188,"Proposed Method (ADVI)",0.22999999999999
0.4,189,"Naive Method (ADVI)",0.215000000000003
0.4,189,"Proposed Method (ADVI)",0.230999999999995
0.4,190,"Naive Method (ADVI)",0.198999999999984
0.4,190,"Proposed Method (ADVI)",0.22999999999999
0.4,191,"Naive Method (ADVI)",0.212999999999994
0.4,191,"Proposed Method (ADVI)",0.229000000000013
0.4,192,"Naive Method (ADVI)",0.212999999999994
0.4,192,"Proposed Method (ADVI)",0.230000000000018
0.4,193,"Naive Method (ADVI)",0.213999999999999
0.4,193,"Proposed Method (ADVI)",0.230000000000018
0.4,194,"Naive Method (ADVI)",0.198999999999984
0.4,194,"Proposed Method (ADVI)",0.22999999999999
0.4,195,"Naive Method (ADVI)",0.200000000000017
0.4,195,"Proposed Method (ADVI)",0.228999999999985
0.4,196,"Naive Method (ADVI)",0.218000000000018
0.4,196,"Proposed Method (ADVI)",0.229000000000013
0.4,197,"Naive Method (ADVI)",0.217000000000013
0.4,197,"Proposed Method (ADVI)",0.231000000000023
0.4,198,"Naive Method (ADVI)",0.213999999999999
0.4,198,"Proposed Method (ADVI)",0.22999999999999
0.4,199,"Naive Method (ADVI)",0.199000000000012
0.4,199,"Proposed Method (ADVI)",0.230000000000018
0.4,200,"Naive Method (ADVI)",0.215000000000003
0.4,200,"Proposed Method (ADVI)",0.22799999999998
1.6,1,"Naive Method (ADVI)",0.215000000000003
