"eta_setting","rep","method","seconds"
1.6,1,"Proposed Method (ADVI)",0.230999999999995
1.6,2,"Naive Method (ADVI)",0.199999999999989
1.6,2,"Proposed Method (ADVI)",0.228000000000009
1.6,3,"Naive Method (ADVI)",0.215000000000003
1.6,3,"Proposed Method (ADVI)",0.22999999999999
1.6,4,"Naive Method (ADVI)",0.198999999999984
1.6,4,"Proposed Method (ADVI)",0.22999999999999
1.6,5,"Naive Method (ADVI)",0.213999999999999
1.6,5,"Proposed Method (ADVI)",0.22999999999999
1.6,6,"Naive Method (ADVI)",0.213999999999999
1.6,6,"Proposed Method (ADVI)",0.231999999999999
1.6,7,"Naive Method (ADVI)",0.200000000000017
1.6,7,"Proposed Method (ADVI)",0.229000000000013
1.6,8,"Naive Method (ADVI)",0.200000000000017
1.6,8,"Proposed Method (ADVI)",0.231999999999999
1.6,9,"Naive Method (ADVI)",0.199999999999989
1.6,9,"Proposed Method (ADVI)",0.230999999999995
1.6,10,"Naive Method (ADVI)",0.199999999999989
1.6,10,"Proposed Method (ADVI)",0.231999999999999
1.6,11,"Naive Method (ADVI)",0.215000000000003
1.6,11,"Proposed Method (ADVI)",0.230000000000018
1.6,12,"Naive Method (ADVI)",0.198999999999984
1.6,12,"Proposed Method (ADVI)",0.228000000000009
1.6,13,"Naive Method (ADVI)",0.212999999999994
1.6,13,"Proposed Method (ADVI)",0.229000000000013
1.6,14,"Naive Method (ADVI)",0.213999999999999
1.6,14,"Proposed Method (ADVI)",0.231999999999999
1.6,15,"Naive Method (ADVI)",0.216000000000008
1.6,15,"Proposed Method (ADVI)",0.229000000000013
1.6,16,"Naive Method (ADVI)",0.213999999999999
1.6,16,"Proposed Method (ADVI)",0.229000000000013
1.6,17,"Naive Method (ADVI)",0.213999999999999
1.6,17,"Proposed Method (ADVI)",0.22999999999999
1.6,18,"Naive Method (ADVI)",0.216000000000008
1.6,18,"Proposed Method (ADVI)",0.228999999999985
1.6,19,"Naive Method (ADVI)",0.212999999999994
1.6,19,"Proposed Method (ADVI)",0.229000000000013
1.6,20,"Naive Method (ADVI)",0.214999999999975
1.6,20,"Proposed Method (ADVI)",0.230999999999995
1.6,21,"Naive Method (ADVI)",0.213999999999999
1.6,21,"Proposed Method (ADVI)",0.233000000000004
1.6,22,"Naive Method (ADVI)",0.215000000000003
1.6,22,"Proposed Method (ADVI)",0.230000000000018
1.6,23,"Naive Method (ADVI)",0.215000000000003
1.6,23,"Proposed Method (ADVI)",0.229000000000013
1.6,24,"Naive Method (ADVI)",0.213999999999999
1.6,24,"Proposed Method (ADVI)",0.230999999999995
1.6,25,"Naive Method (ADVI)",0.213999999999999
1.6,25,"Proposed Method (ADVI)",0.22799999999998
1.6,26,"Naive Method (ADVI)",0.216000000000008
1.6,26,"Proposed Method (ADVI)",0.230000000000018
1.6,27,"Naive Method (ADVI)",0.213999999999999
1.6,27,"Proposed Method (ADVI)",0.230999999999995
1.6,28,"Naive Method (ADVI)",0.216000000000008
1.6,28,"Proposed Method (ADVI)",0.22799999999998
1.6,29,"Naive Method (ADVI)",0.213000000000022
1.6,29,"Proposed Method (ADVI)",0.229000000000013
1.6,30,"Naive Method (ADVI)",0.198000000000008
1.6,30,"Proposed Method (ADVI)",0.22999999999999
1.6,31,"Naive Method (ADVI)",0.199999999999989
1.6,31,"Proposed Method (ADVI)",0.231999999999999
1.6,32,"Naive Method (ADVI)",0.212999999999994
1.6,32,"Proposed Method (ADVI)",0.231999999999999
1.6,33,"Naive Method (ADVI)",0.215000000000003
1.6,33,"Proposed Method (ADVI)",0.22999999999999
1.6,34,"Naive Method (ADVI)",0.199000000000012
1.6,34,"Proposed Method (ADVI)",0.22799999999998
1.6,35,"Naive Method (ADVI)",0.200000000000017
1.6,35,"Proposed Method (ADVI)",0.229000000000013
1.6,36,"Naive Method (ADVI)",0.215000000000003
1.6,36,"Proposed Method (ADVI)",0.22999999999999
1.6,37,"Naive Method (ADVI)",0.200999999999993
1.6,37,"Proposed Method (ADVI)",0.230999999999995
1.6,38,"Naive Method (ADVI)",0.216000000000008
1.6,38,"Proposed Method (ADVI)",0.22999999999999
1.6,39,"Naive Method (ADVI)",0.215000000000003
1.6,39,"Proposed Method (ADVI)",0.229000000000013
1.6,40,"Naive Method (ADVI)",0.212999999999994
1.6,40,"Proposed Method (ADVI)",0.229000000000013
1.6,41,"Naive Method (ADVI)",0.213999999999999
1.6,41,"Proposed Method (ADVI)",0.228999999999985
1.6,42,"Naive Method (ADVI)",0.216000000000008
1.6,42,"Proposed Method (ADVI)",0.22999999999999
1.6,43,"Naive Method (ADVI)",0.199999999999989
1.6,43,"Proposed Method (ADVI)",0.230999999999995
1.6,44,"Naive Method (ADVI)",0.213999999999999
1.6,44,"Proposed Method (ADVI)",0.229000000000013
1.6,45,"Naive Method (ADVI)",0.213999999999999
1.6,45,"Proposed Method (ADVI)",0.228000000000009
1.6,46,"Naive Method (ADVI)",0.200000000000017
1.6,46,"Proposed Method (ADVI)",0.22999999999999
1.6,47,"Naive Method (ADVI)",0.216000000000008
1.6,47,"Proposed Method (ADVI)",0.230999999999995
1.6,48,"Naive Method (ADVI)",0.21599999999998
1.6,48,"Proposed Method (ADVI)",0.231000000000023
1.6,49,"Naive Method (ADVI)",0.214000000000027
1.6,49,"Proposed Method (ADVI)",0.230000000000018
1.6,50,"Naive Method (ADVI)",0.213999999999999
1.6,50,"Proposed Method (ADVI)",0.22999999999999
1.6,51,"Naive Method (ADVI)",0.213999999999999
1.6,51,"Proposed Method (ADVI)",0.228999999999985
1.6,52,"Naive Method (ADVI)",0.214999999999975
1.6,52,"Proposed Method (ADVI)",0.230000000000018
1.6,53,"Naive Method (ADVI)",0.213999999999999
1.6,53,"Proposed Method (ADVI)",0.230000000000018
1.6,54,"Naive Method (ADVI)",0.212999999999994
1.6,54,"Proposed Method (ADVI)",0.231000000000023
1.6,55,"Naive Method (ADVI)",0.199999999999989
1.6,55,"Proposed Method (ADVI)",0.22999999999999
1.6,56,"Naive Method (ADVI)",0.215000000000003
1.6,56,"Proposed Method (ADVI)",0.22999999999999
1.6,57,"Naive Method (ADVI)",0.200999999999993
1.6,57,"Proposed Method (ADVI)",0.22799999999998
1.6,58,"Naive Method (ADVI)",0.215000000000003
1.6,58,"Proposed Method (ADVI)",0.230999999999995
1.6,59,"Naive Method (ADVI)",0.200000000000017
1.6,59,"Proposed Method (ADVI)",0.228000000000009
1.6,60,"Naive Method (ADVI)",0.216000000000008
1.6,60,"Proposed Method (ADVI)",0.229000000000013
1.6,61,"Naive Method (ADVI)",0.199999999999989
1.6,61,"Proposed Method (ADVI)",0.22999999999999
1.6,62,"Naive Method (ADVI)",0.198999999999984
1.6,62,"Proposed Method (ADVI)",0.22999999999999
1.6,63,"Naive Method (ADVI)",0.212999999999994
1.6,63,"Proposed Method (ADVI)",0.230999999999995
1.6,64,"Naive Method (ADVI)",0.216000000000008
1.6,64,"Proposed Method (ADVI)",0.230000000000018
1.6,65,"Naive Method (ADVI)",0.214999999999975
1.6,65,"Proposed Method (ADVI)",0.22999999999999
1.6,66,"Naive Method (ADVI)",0.198999999999984
1.6,66,"Proposed Method (ADVI)",0.230000000000018
1.6,67,"Naive Method (ADVI)",0.215000000000003
1.6,67,"Proposed Method (ADVI)",0.228999999999985
1.6,68,"Naive Method (ADVI)",0.213999999999999
1.6,68,"Proposed Method (ADVI)",0.228000000000009
1.6,69,"Naive Method (ADVI)",0.214000000000027
1.6,69,"Proposed Method (ADVI)",0.229000000000013
1.6,70,"Naive Method (ADVI)",0.213999999999999
1.6,70,"Proposed Method (ADVI)",0.229000000000013
1.6,71,"Naive Method (ADVI)",0.199000000000012
1.6,71,"Proposed Method (ADVI)",0.228999999999985
1.6,72,"Naive Method (ADVI)",0.213999999999999
1.6,72,"Proposed Method (ADVI)",0.22999999999999
1.6,73,"Naive Method (ADVI)",0.198999999999984
1.6,73,"Proposed Method (ADVI)",0.228999999999985
1.6,74,"Naive Method (ADVI)",0.215000000000003
1.6,74,"Proposed Method (ADVI)",0.229000000000013
1.6,75,"Naive Method (ADVI)",0.216000000000008
1.6,75,"Proposed Method (ADVI)",0.22999999999999
1.6,76,"Naive Method (ADVI)",0.215000000000003
1.6,76,"Proposed Method (ADVI)",0.231000000000023
1.6,77,"Naive Method (ADVI)",0.198999999999984
1.6,77,"Proposed Method (ADVI)",0.22999999999999
1.6,78,"Naive Method (ADVI)",0.215000000000003
1.6,78,"Proposed Method (ADVI)",0.228999999999985
1.6,79,"Naive Method (ADVI)",0.213999999999999
1.6,79,"Proposed Method (ADVI)",0.230999999999995
1.6,80,"Naive Method (ADVI)",0.23599999999999
1.6,80,"Proposed Method (ADVI)",0.228999999999985
1.6,81,"Naive Method (ADVI)",0.215000000000003
1.6,81,"Proposed Method (ADVI)",0.22999999999999
1.6,82,"Naive Method (ADVI)",0.199000000000012
1.6,82,"Proposed Method (ADVI)",0.230999999999995
1.6,83,"Naive Method (ADVI)",0.215000000000003
1.6,83,"Proposed Method (ADVI)",0.228999999999985
1.6,84,"Naive Method (ADVI)",0.201000000000022
1.6,84,"Proposed Method (ADVI)",0.230000000000018
1.6,85,"Naive Method (ADVI)",0.199000000000012
1.6,85,"Proposed Method (ADVI)",0.228999999999985
1.6,86,"Naive Method (ADVI)",0.213999999999999
1.6,86,"Proposed Method (ADVI)",0.231999999999999
1.6,87,"Naive Method (ADVI)",0.199999999999989
1.6,87,"Proposed Method (ADVI)",0.228000000000009
1.6,88,"Naive Method (ADVI)",0.213999999999999
1.6,88,"Proposed Method (ADVI)",0.22999999999999
1.6,89,"Naive Method (ADVI)",0.212000000000018
1.6,89,"Proposed Method (ADVI)",0.22999999999999
1.6,90,"Naive Method (ADVI)",0.199999999999989
1.6,90,"Proposed Method (ADVI)",0.22999999999999
1.6,91,"Naive Method (ADVI)",0.215000000000003
1.6,91,"Proposed Method (ADVI)",0.233000000000004
1.6,92,"Naive Method (ADVI)",0.201999999999998
1.6,92,"Proposed Method (ADVI)",0.230999999999995
1.6,93,"Naive Method (ADVI)",0.199000000000012
1.6,93,"Proposed Method (ADVI)",0.22999999999999
1.6,94,"Naive Method (ADVI)",0.215000000000003
1.6,94,"Proposed Method (ADVI)",0.228999999999985
1.6,95,"Naive Method (ADVI)",0.199999999999989
1.6,95,"Proposed Method (ADVI)",0.22999999999999
1.6,96,"Naive Method (ADVI)",0.199000000000012
1.6,96,"Proposed Method (ADVI)",0.228999999999985
1.6,97,"Naive Method (ADVI)",0.200999999999965
1.6,97,"Proposed Method (ADVI)",0.229999999999961
1.6,98,"Naive Method (ADVI)",0.201000000000022
1.6,98,"Proposed Method (ADVI)",0.230999999999995
1.6,99,"Naive Method (ADVI)",0.216000000000008
1.6,99,"Proposed Method (ADVI)",0.228999999999985
1.6,100,"Naive Method (ADVI)",0.213999999999999
1.6,100,"Proposed Method (ADVI)",0.230000000000018
1.6,101,"Naive Method (ADVI)",0.214999999999975
1.6,101,"Proposed Method (ADVI)",0.229999999999961
1.6,102,"Naive Method (ADVI)",0.213999999999999
1.6,102,"Proposed Method (ADVI)",0.230999999999995
1.6,103,"Naive Method (ADVI)",0.223000000000013
1.6,103,"Proposed Method (ADVI)",0.230000000000018
1.6,104,"Naive Method (ADVI)",0.213000000000022
1.6,104,"Proposed Method (ADVI)",0.230000000000018
1.6,105,"Naive Method (ADVI)",0.216000000000008
1.6,105,"Proposed Method (ADVI)",0.230999999999995
1.6,106,"Naive Method (ADVI)",0.199999999999989
1.6,106,"Proposed Method (ADVI)",0.230999999999995
1.6,107,"Naive Method (ADVI)",0.199999999999989
1.6,107,"Proposed Method (ADVI)",0.230000000000018
1.6,108,"Naive Method (ADVI)",0.215000000000032
1.6,108,"Proposed Method (ADVI)",0.229000000000042
1.6,109,"Naive Method (ADVI)",0.199999999999989
1.6,109,"Proposed Method (ADVI)",0.230000000000018
1.6,110,"Naive Method (ADVI)",0.213999999999999
1.6,110,"Proposed Method (ADVI)",0.229000000000042
1.6,111,"Naive Method (ADVI)",0.213999999999999
1.6,111,"Proposed Method (ADVI)",0.228999999999985
1.6,112,"Naive Method (ADVI)",0.200000000000045
1.6,112,"Proposed Method (ADVI)",0.230000000000018
1.6,113,"Naive Method (ADVI)",0.213999999999999
1.6,113,"Proposed Method (ADVI)",0.229999999999961
1.6,114,"Naive Method (ADVI)",0.201999999999998
1.6,114,"Proposed Method (ADVI)",0.230999999999995
1.6,115,"Naive Method (ADVI)",0.214999999999975
1.6,115,"Proposed Method (ADVI)",0.229999999999961
1.6,116,"Naive Method (ADVI)",0.212999999999965
1.6,116,"Proposed Method (ADVI)",0.230000000000018
1.6,117,"Naive Method (ADVI)",0.213999999999999
1.6,117,"Proposed Method (ADVI)",0.230999999999995
1.6,118,"Naive Method (ADVI)",0.199999999999989
1.6,118,"Proposed Method (ADVI)",0.232000000000028
1.6,119,"Naive Method (ADVI)",0.201000000000022
1.6,119,"Proposed Method (ADVI)",0.230000000000018
1.6,120,"Naive Method (ADVI)",0.214999999999975
1.6,120,"Proposed Method (ADVI)",0.230000000000018
1.6,121,"Naive Method (ADVI)",0.198999999999955
1.6,121,"Proposed Method (ADVI)",0.266999999999996
1.6,122,"Naive Method (ADVI)",0.214999999999975
1.6,122,"Proposed Method (ADVI)",0.228999999999985
1.6,123,"Naive Method (ADVI)",0.217000000000041
1.6,123,"Proposed Method (ADVI)",0.230999999999995
1.6,124,"Naive Method (ADVI)",0.201000000000022
1.6,124,"Proposed Method (ADVI)",0.229999999999961
1.6,125,"Naive Method (ADVI)",0.213000000000022
1.6,125,"Proposed Method (ADVI)",0.229999999999961
1.6,126,"Naive Method (ADVI)",0.213999999999999
1.6,126,"Proposed Method (ADVI)",0.229000000000042
1.6,127,"Naive Method (ADVI)",0.213999999999999
1.6,127,"Proposed Method (ADVI)",0.230999999999995
1.6,128,"Naive Method (ADVI)",0.212999999999965
1.6,128,"Proposed Method (ADVI)",0.231999999999971
1.6,129,"Naive Method (ADVI)",0.214999999999975
1.6,129,"Proposed Method (ADVI)",0.230000000000018
1.6,130,"Naive Method (ADVI)",0.214999999999975
1.6,130,"Proposed Method (ADVI)",0.230000000000018
1.6,131,"Naive Method (ADVI)",0.199999999999989
1.6,131,"Proposed Method (ADVI)",0.230000000000018
1.6,132,"Naive Method (ADVI)",0.214999999999975
1.6,132,"Proposed Method (ADVI)",0.228999999999985
1.6,133,"Naive Method (ADVI)",0.215000000000032
1.6,133,"Proposed Method (ADVI)",0.230999999999995
1.6,134,"Naive Method (ADVI)",0.201999999999998
1.6,134,"Proposed Method (ADVI)",0.230999999999995
1.6,135,"Naive Method (ADVI)",0.214999999999975
1.6,135,"Proposed Method (ADVI)",0.230000000000018
1.6,136,"Naive Method (ADVI)",0.213999999999999
1.6,136,"Proposed Method (ADVI)",0.230999999999995
1.6,137,"Naive Method (ADVI)",0.213000000000022
1.6,137,"Proposed Method (ADVI)",0.228999999999985
1.6,138,"Naive Method (ADVI)",0.199999999999989
1.6,138,"Proposed Method (ADVI)",0.228999999999985
1.6,139,"Naive Method (ADVI)",0.199999999999989
1.6,139,"Proposed Method (ADVI)",0.228999999999985
1.6,140,"Naive Method (ADVI)",0.213999999999999
1.6,140,"Proposed Method (ADVI)",0.229999999999961
1.6,141,"Naive Method (ADVI)",0.201000000000022
1.6,141,"Proposed Method (ADVI)",0.228999999999985
1.6,142,"Naive Method (ADVI)",0.213999999999999
1.6,142,"Proposed Method (ADVI)",0.230000000000018
1.6,143,"Naive Method (ADVI)",0.213000000000022
1.6,143,"Proposed Method (ADVI)",0.230000000000018
1.6,144,"Naive Method (ADVI)",0.216000000000008
1.6,144,"Proposed Method (ADVI)",0.233000000000004
1.6,145,"Naive Method (ADVI)",0.201000000000022
1.6,145,"Proposed Method (ADVI)",0.230999999999995
1.6,146,"Naive Method (ADVI)",0.216000000000008
1.6,146,"Proposed Method (ADVI)",0.230000000000018
1.6,147,"Naive Method (ADVI)",0.213999999999999
1.6,147,"Proposed Method (ADVI)",0.229000000000042
1.6,148,"Naive Method (ADVI)",0.213999999999999
1.6,148,"Proposed Method (ADVI)",0.228999999999985
1.6,149,"Naive Method (ADVI)",0.213999999999999
1.6,149,"Proposed Method (ADVI)",0.229999999999961
1.6,150,"Naive Method (ADVI)",0.213999999999999
1.6,150,"Proposed Method (ADVI)",0.230000000000018
1.6,151,"Naive Method (ADVI)",0.199999999999989
1.6,151,"Proposed Method (ADVI)",0.230999999999995
1.6,152,"Naive Method (ADVI)",0.199000000000012
1.6,152,"Proposed Method (ADVI)",0.230000000000018
1.6,153,"Naive Method (ADVI)",0.199000000000012
1.6,153,"Proposed Method (ADVI)",0.228999999999985
1.6,154,"Naive Method (ADVI)",0.199999999999989
1.6,154,"Proposed Method (ADVI)",0.230000000000018
1.6,155,"Naive Method (ADVI)",0.201000000000022
1.6,155,"Proposed Method (ADVI)",0.229000000000042
1.6,156,"Naive Method (ADVI)",0.203000000000031
1.6,156,"Proposed Method (ADVI)",0.230999999999995
1.6,157,"Naive Method (ADVI)",0.199000000000012
1.6,157,"Proposed Method (ADVI)",0.230000000000018
1.6,158,"Naive Method (ADVI)",0.201000000000022
1.6,158,"Proposed Method (ADVI)",0.230999999999995
1.6,159,"Naive Method (ADVI)",0.213999999999999
1.6,159,"Proposed Method (ADVI)",0.231000000000051
1.6,160,"Naive Method (ADVI)",0.213999999999999
1.6,160,"Proposed Method (ADVI)",0.230000000000018
1.6,161,"Naive Method (ADVI)",0.199000000000012
1.6,161,"Proposed Method (ADVI)",0.228999999999985
1.6,162,"Naive Method (ADVI)",0.216000000000008
1.6,162,"Proposed Method (ADVI)",0.230999999999995
1.6,163,"Naive Method (ADVI)",0.215000000000032
1.6,163,"Proposed Method (ADVI)",0.230000000000018
1.6,164,"Naive Method (ADVI)",0.213000000000022
1.6,164,"Proposed Method (ADVI)",0.228999999999985
1.6,165,"Naive Method (ADVI)",0.199000000000012
1.6,165,"Proposed Method (ADVI)",0.231000000000051
1.6,166,"Naive Method (ADVI)",0.212999999999965
1.6,166,"Proposed Method (ADVI)",0.230000000000018
1.6,167,"Naive Method (ADVI)",0.249000000000024
1.6,167,"Proposed Method (ADVI)",0.233000000000004
1.6,168,"Naive Method (ADVI)",0.201000000000022
1.6,168,"Proposed Method (ADVI)",0.230999999999995
1.6,169,"Naive Method (ADVI)",0.199999999999989
1.6,169,"Proposed Method (ADVI)",0.228999999999985
1.6,170,"Naive Method (ADVI)",0.213999999999999
1.6,170,"Proposed Method (ADVI)",0.230000000000018
1.6,171,"Naive Method (ADVI)",0.215000000000032
1.6,171,"Proposed Method (ADVI)",0.228999999999985
1.6,172,"Naive Method (ADVI)",0.199999999999989
1.6,172,"Proposed Method (ADVI)",0.228999999999985
1.6,173,"Naive Method (ADVI)",0.215000000000032
1.6,173,"Proposed Method (ADVI)",0.230000000000018
1.6,174,"Naive Method (ADVI)",0.213999999999999
1.6,174,"Proposed Method (ADVI)",0.230999999999995
1.6,175,"Naive Method (ADVI)",0.199999999999989
1.6,175,"Proposed Method (ADVI)",0.230000000000018
1.6,176,"Naive Method (ADVI)",0.215000000000032
1.6,176,"Proposed Method (ADVI)",0.230000000000018
1.6,177,"Naive Method (ADVI)",0.199000000000012
1.6,177,"Proposed Method (ADVI)",0.230000000000018
1.6,178,"Naive Method (ADVI)",0.218999999999994
1.6,178,"Proposed Method (ADVI)",0.230999999999995
1.6,179,"Naive Method (ADVI)",0.213000000000022
1.6,179,"Proposed Method (ADVI)",0.230999999999995
1.6,180,"Naive Method (ADVI)",0.199000000000012
1.6,180,"Proposed Method (ADVI)",0.230000000000018
1.6,181,"Naive Method (ADVI)",0.213999999999999
1.6,181,"Proposed Method (ADVI)",0.230000000000018
1.6,182,"Naive Method (ADVI)",0.199000000000012
1.6,182,"Proposed Method (ADVI)",0.229999999999961
1.6,183,"Naive Method (ADVI)",0.212999999999965
1.6,183,"Proposed Method (ADVI)",0.230000000000018
1.6,184,"Naive Method (ADVI)",0.215000000000032
1.6,184,"Proposed Method (ADVI)",0.231999999999971
1.6,185,"Naive Method (ADVI)",0.212999999999965
1.6,185,"Proposed Method (ADVI)",0.230000000000018
1.6,186,"Naive Method (ADVI)",0.213999999999999
1.6,186,"Proposed Method (ADVI)",0.229999999999961
1.6,187,"Naive Method (ADVI)",0.198999999999955
1.6,187,"Proposed Method (ADVI)",0.231000000000051
1.6,188,"Naive Method (ADVI)",0.213999999999999
1.6,188,"Proposed Method (ADVI)",0.230999999999995
1.6,189,"Naive Method (ADVI)",0.214999999999975
1.6,189,"Proposed Method (ADVI)",0.232000000000028
1.6,190,"Naive Method (ADVI)",0.214999999999975
1.6,190,"Proposed Method (ADVI)",0.229999999999961
1.6,191,"Naive Method (ADVI)",0.199000000000012
1.6,191,"Proposed Method (ADVI)",0.230000000000018
1.6,192,"Naive Method (ADVI)",0.200000000000045
1.6,192,"Proposed Method (ADVI)",0.230999999999995
1.6,193,"Naive Method (ADVI)",0.199000000000012
1.6,193,"Proposed Method (ADVI)",0.230999999999995
1.6,194,"Naive Method (ADVI)",0.213999999999999
1.6,194,"Proposed Method (ADVI)",0.230999999999995
1.6,195,"Naive Method (ADVI)",0.199999999999989
1.6,195,"Proposed Method (ADVI)",0.228999999999985
1.6,196,"Naive Method (ADVI)",0.214999999999975
1.6,196,"Proposed Method (ADVI)",0.228999999999985
1.6,197,"Naive Method (ADVI)",0.215999999999951
1.6,197,"Proposed Method (ADVI)",0.229999999999961
1.6,198,"Naive Method (ADVI)",0.216000000000008
1.6,198,"Proposed Method (ADVI)",0.230999999999995
1.6,199,"Naive Method (ADVI)",0.215000000000032
1.6,199,"Proposed Method (ADVI)",0.229999999999961
1.6,200,"Naive Method (ADVI)",0.201000000000022
1.6,200,"Proposed Method (ADVI)",0.230000000000018
