"table","group","metric","method","param","target","candidate","value","ratio","abs_log_error","parameter_class"
"C4","Proposed Method (ADVI)|0.1|0.4|beta4","SEE","Proposed Method (ADVI)","beta4",0.076,"empirical_sd",0.15512,2.04099,0.71343,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta4","SEM","Proposed Method (ADVI)","beta4",0.074,"mean_posterior_sd",0.1616,2.18378,0.78106,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta5","SEE","Proposed Method (ADVI)","beta5",0.054,"rmse_se_mean",0.01966,0.36407,1.01041,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta5","SEM","Proposed Method (ADVI)","beta5",0.054,"mean_posterior_variance",0.04034,0.74707,0.2916,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|eta","SEE","Proposed Method (ADVI)","eta",0.031,"rmse_se_mean",0.03052,0.98465,0.01547,"eta"
"C4","Proposed Method (ADVI)|0.1|0.4|eta","SEM","Proposed Method (ADVI)","eta",0.031,"sqrt_mean_posterior_variance_over_n",0.0202,0.65169,0.42819,"eta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta1","SEE","Proposed Method (ADVI)","beta1",0.034,"mean_abs_error",0.06042,1.77705,0.57495,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta1","SEM","Proposed Method (ADVI)","beta1",0.034,"mean_posterior_sd",0.07415,2.18081,0.7797,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta2","SEE","Proposed Method (ADVI)","beta2",0.045,"mean_abs_error",0.08609,1.913,0.64867,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta2","SEM","Proposed Method (ADVI)","beta2",0.045,"mean_posterior_sd",0.10677,2.37262,0.864,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta3","SEE","Proposed Method (ADVI)","beta3",0.046,"mean_abs_error",0.11601,2.52206,0.92508,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta3","SEM","Proposed Method (ADVI)","beta3",0.045,"mean_posterior_variance",0.01779,0.39527,0.92818,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta4","SEE","Proposed Method (ADVI)","beta4",0.057,"mean_abs_error",0.1575,2.76311,1.01636,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta4","SEM","Proposed Method (ADVI)","beta4",0.054,"mean_posterior_variance",0.02492,0.46155,0.77317,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta5","SEE","Proposed Method (ADVI)","beta5",0.063,"mean_abs_error",0.19294,3.06251,1.11923,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta5","SEM","Proposed Method (ADVI)","beta5",0.063,"mean_posterior_variance",0.03859,0.61248,0.49024,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|eta","SEE","Proposed Method (ADVI)","eta",0.022,"mean_abs_error_se_mean",0.02357,1.07123,0.06881,"eta"
"C4","Proposed Method (ADVI)|0.4|0.1|eta","SEM","Proposed Method (ADVI)","eta",0.022,"sqrt_mean_posterior_variance_over_n",0.017,0.7727,0.25786,"eta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta1","SEE","Proposed Method (ADVI)","beta1",0.032,"mean_abs_error",0.05545,1.7327,0.54968,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta1","SEM","Proposed Method (ADVI)","beta1",0.033,"mean_posterior_sd",0.07445,2.25596,0.81358,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta2","SEE","Proposed Method (ADVI)","beta2",0.059,"mean_abs_error",0.08554,1.44985,0.37146,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta2","SEM","Proposed Method (ADVI)","beta2",0.059,"mean_posterior_sd",0.10645,1.80423,0.59014,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta3","SEE","Proposed Method (ADVI)","beta3",0.048,"mean_abs_error",0.10503,2.18823,0.78309,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta3","SEM","Proposed Method (ADVI)","beta3",0.047,"mean_posterior_variance",0.01773,0.37719,0.97501,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta4","SEE","Proposed Method (ADVI)","beta4",0.049,"mean_abs_error",0.1445,2.94898,1.08146,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta4","SEM","Proposed Method (ADVI)","beta4",0.045,"mean_posterior_variance",0.02491,0.55356,0.59139,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta5","SEE","Proposed Method (ADVI)","beta5",0.063,"mean_abs_error",0.17078,2.71074,0.99722,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta5","SEM","Proposed Method (ADVI)","beta5",0.059,"mean_posterior_variance",0.03841,0.65096,0.42931,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|eta","SEE","Proposed Method (ADVI)","eta",0.029,"empirical_se_mean",0.02858,0.98557,0.01453,"eta"
"C4","Proposed Method (ADVI)|0.4|0.4|eta","SEM","Proposed Method (ADVI)","eta",0.026,"sqrt_mean_posterior_variance_over_n",0.01742,0.6701,0.40032,"eta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta1","SEE","Missing first-pass (ADVI)","beta1",0.043,"rmse_se_mean",0.01521,0.35369,1.03932,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta1","SEM","Missing first-pass (ADVI)","beta1",0.043,"mean_posterior_variance",0.03389,0.78823,0.23797,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta2","SEE","Missing first-pass (ADVI)","beta2",0.056,"rmse_se_mean",0.02287,0.40835,0.89563,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta2","SEM","Missing first-pass (ADVI)","beta2",0.057,"mean_posterior_variance",0.05927,1.0399,0.03913,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta3","SEE","Missing first-pass (ADVI)","beta3",0.048,"rmse_se_mean",0.03088,0.64333,0.4411,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta3","SEM","Missing first-pass (ADVI)","beta3",0.048,"sqrt_mean_posterior_variance_over_n",0.023,0.47921,0.73562,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta4","SEE","Missing first-pass (ADVI)","beta4",0.039,"mean_abs_error_se_mean",0.03647,0.93507,0.06714,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta4","SEM","Missing first-pass (ADVI)","beta4",0.039,"sqrt_mean_posterior_variance_over_n",0.02905,0.74493,0.29447,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta5","SEE","Missing first-pass (ADVI)","beta5",0.055,"rmse_se_mean",0.04977,0.90496,0.09987,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta5","SEM","Missing first-pass (ADVI)","beta5",0.056,"sqrt_mean_posterior_variance_over_n",0.03491,0.62341,0.47255,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|eta","SEE","Missing first-pass (ADVI)","eta",0.011,"empirical_se_mean",0.02116,1.92384,0.65432,"eta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|eta","SEM","Missing first-pass (ADVI)","eta",0.012,"mean_posterior_sd_se_mean",0.02448,2.0403,0.7131,"eta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|beta1","SEE","Missing first-pass (ADVI)","beta1",0.028,"rmse_se_mean",0.01835,0.6555,0.42235,"beta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|beta1","SEM","Missing first-pass (ADVI)","beta1",0.028,"mean_posterior_variance",0.03599,1.28525,0.25095,"beta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|beta2","SEE","Missing first-pass (ADVI)","beta2",0.028,"rmse_se_mean",0.02528,0.90292,0.10212,"beta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|beta2","SEM","Missing first-pass (ADVI)","beta2",0.029,"sqrt_mean_posterior_variance_over_n",0.01761,0.60719,0.49891,"beta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|beta3","SEE","Missing first-pass (ADVI)","beta3",0.038,"rmse_se_mean",0.03347,0.88091,0.1268,"beta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|beta3","SEM","Missing first-pass (ADVI)","beta3",0.038,"rms_posterior_sd_se_mean",0.02362,0.62145,0.4757,"beta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|beta4","SEE","Missing first-pass (ADVI)","beta4",0.048,"rmse_se_mean",0.04736,0.98677,0.01332,"beta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|beta4","SEM","Missing first-pass (ADVI)","beta4",0.047,"rms_posterior_sd_se_mean",0.02973,0.63249,0.45808,"beta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|beta5","SEE","Missing first-pass (ADVI)","beta5",0.047,"mean_abs_error_se_mean",0.04949,1.05293,0.05158,"beta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|beta5","SEM","Missing first-pass (ADVI)","beta5",0.047,"sqrt_mean_posterior_variance_over_n",0.03586,0.76287,0.27066,"beta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|eta","SEE","Missing first-pass (ADVI)","eta",0.029,"rmse_se_mean",0.03048,1.05094,0.04968,"eta"
"C5-C6","Missing first-pass (ADVI)|30 Missing Spots|eta","SEM","Missing first-pass (ADVI)","eta",0.029,"sqrt_mean_posterior_variance_over_n",0.02504,0.8635,0.14676,"eta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|beta1","SEE","Missing first-pass (ADVI)","beta1",0.046,"rmse_se_mean",0.01527,0.3319,1.10292,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|beta1","SEM","Missing first-pass (ADVI)","beta1",0.045,"mean_posterior_variance",0.03406,0.75682,0.27863,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|beta2","SEE","Missing first-pass (ADVI)","beta2",0.048,"rmse_se_mean",0.02376,0.49492,0.70336,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|beta2","SEM","Missing first-pass (ADVI)","beta2",0.047,"mean_posterior_variance",0.06004,1.27742,0.24484,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|beta3","SEE","Missing first-pass (ADVI)","beta3",0.053,"rmse_se_mean",0.03032,0.572,0.55862,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|beta3","SEM","Missing first-pass (ADVI)","beta3",0.053,"mean_posterior_variance",0.10546,1.98982,0.68805,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|beta4","SEE","Missing first-pass (ADVI)","beta4",0.042,"rmse_se_mean",0.04146,0.98718,0.01291,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|beta4","SEM","Missing first-pass (ADVI)","beta4",0.045,"sqrt_mean_posterior_variance_over_n",0.02893,0.64282,0.44189,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|beta5","SEE","Missing first-pass (ADVI)","beta5",0.055,"rmse_se_mean",0.05026,0.91375,0.0902,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|beta5","SEM","Missing first-pass (ADVI)","beta5",0.055,"rms_posterior_sd_se_mean",0.03502,0.63668,0.45149,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|eta","SEE","Missing first-pass (ADVI)","eta",0.055,"rmse_se_mean",0.02739,0.49808,0.69699,"eta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-5,1,1.6)|eta","SEM","Missing first-pass (ADVI)","eta",0.055,"mean_posterior_variance",0.1195,2.17272,0.77598,"eta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|beta1","SEE","Missing first-pass (ADVI)","beta1",0.041,"rmse_se_mean",0.01738,0.42392,0.85821,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|beta1","SEM","Missing first-pass (ADVI)","beta1",0.041,"mean_posterior_variance",0.03426,0.83557,0.17964,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|beta2","SEE","Missing first-pass (ADVI)","beta2",0.037,"rmse_se_mean",0.02399,0.64851,0.43308,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|beta2","SEM","Missing first-pass (ADVI)","beta2",0.037,"mean_posterior_variance",0.05906,1.59619,0.46762,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|beta3","SEE","Missing first-pass (ADVI)","beta3",0.048,"rmse_se_mean",0.03189,0.66435,0.40895,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|beta3","SEM","Missing first-pass (ADVI)","beta3",0.048,"rms_posterior_sd_se_mean",0.02293,0.47773,0.7387,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|beta4","SEE","Missing first-pass (ADVI)","beta4",0.05,"rmse_se_mean",0.04227,0.84548,0.16785,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|beta4","SEM","Missing first-pass (ADVI)","beta4",0.051,"sqrt_mean_posterior_variance_over_n",0.0289,0.56675,0.56784,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|beta5","SEE","Missing first-pass (ADVI)","beta5",0.059,"rmse_se_mean",0.05342,0.90534,0.09944,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|beta5","SEM","Missing first-pass (ADVI)","beta5",0.056,"sqrt_mean_posterior_variance_over_n",0.03502,0.62535,0.46944,"beta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|eta","SEE","Missing first-pass (ADVI)","eta",0.052,"rmse_se_mean",0.02897,0.55708,0.58504,"eta"
"C5-C6","Missing first-pass (ADVI)|gamma=(-6,1,4)|eta","SEM","Missing first-pass (ADVI)","eta",0.052,"rms_posterior_sd_se_mean",0.0244,0.46917,0.75679,"eta"
